Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
33250,246800,108800,20000,43400,36300,20100,27100,82078200,169400,69900,10400,62411300,38600,73355300,19000,78746400,48800,97122400,9400,79202800,39508600
33500,233700,108200,21500,34800,34400,20500,24100,79078500,142100,67200,11000,65206400,39000,83338400,18300,103707600,41600,96522300,10500,79444600,38868600
33750,156300,113200,20500,38300,37500,17600,22700,78476400,104700,62000,10800,74121900,39600,72255900,18000,82434500,88200,100736100,10600,80347300,38681600
34000,137700,108900,21300,73500,37400,18900,27100,82365100,104100,71300,10600,62596200,39800,85421900,20200,76456600,68600,98177700,10300,80790100,40008400
34250,133000,110700,19800,56400,37800,22700,27400,83990100,105500,104100,10900,63634100,68800,74479400,18000,86708000,81200,99068500,9200,81768500,39637200
34500,155900,112300,21600,36200,37800,20000,22600,84120900,100100,119000,10700,64704100,108900,72361100,19400,81548000,70100,98935200,14000,83365800,40084100
34750,146300,110300,20500,58100,37600,20500,25700,84905800,131200,123400,10600,70267500,119800,76459200,19400,80789700,72700,100324200,9400,82694200,40780100
35000,131700,112400,22500,43900,37800,19000,26400,92259500,101600,159500,11000,69362100,51300,80135000,19500,78337500,61300,100378800,20400,83172500,41102900
35250,160900,114100,20800,39500,38100,19500,25000,89783600,103400,332800,10100,67772300,38200,73253900,19600,79871300,56800,101583800,22100,83450800,41106100
35500,172200,116800,22400,43000,52400,22800,24700,86314100,102000,287500,10900,85087600,39600,116444700,21000,81896900,54700,103698700,23400,84839900,41885500
35750,133500,111500,19800,45000,36000,27100,21700,92750500,100500,369600,10500,84168600,37700,84085700,18900,81130200,60200,104774000,23000,85049700,41646100
36000,134000,113000,20800,49900,35300,26400,19600,91754500,100200,137700,10700,81563500,39200,77026800,17800,92435100,65800,103189900,29600,86923000,41805400
36250,131800,114800,24500,42300,36900,18400,18300,94668300,100600,113100,8800,72194400,446600,77371800,19400,85038600,68600,104457800,19600,91221600,45524900
36500,132200,109800,19200,43600,33200,20500,23000,94994500,101500,107100,9300,73270100,508000,80454000,18700,85157700,83300,106264700,21700,87676500,43972900
36750,165900,111500,20300,36600,35200,40100,22500,94727300,95000,55000,9700,72381900,97700,81169500,17600,84342600,95300,105799100,22900,88415400,43495700
37000,233300,118400,20500,40600,38600,17500,21200,95542000,100500,64100,10400,72519200,41600,79641000,20600,87388000,110100,107851700,11100,91190300,43773200
37250,232600,119300,19300,40800,36400,13300,20100,96111600,95700,44800,10600,77578800,39400,81161200,20400,89134500,100900,111399600,31800,89587200,43522400
37500,167200,118600,19600,104200,36500,14300,19400,97651600,99800,42400,9600,73799800,40300,91893300,20100,89133000,102200,109090700,28400,92279900,44658400
37750,131000,119500,21300,56000,38500,12200,19700,102241800,97500,46300,9700,75540400,42000,84152500,19100,90028500,118500,109214600,8500,90606400,44651200
38000,140500,118400,23500,36400,36100,15000,17900,108780400,100600,49200,10300,79509100,41600,82575100,19900,109541200,106600,109896200,11500,91629700,44530200
38250,401100,118900,24900,37300,35700,12100,22300,98946000,95500,48300,11000,80192800,39800,87795800,19400,90116900,108700,111405200,34200,92501900,44447900
38500,385900,123800,24500,39300,37100,12800,20200,100590300,123000,47100,10600,79090300,38500,101320600,18700,93175000,149300,110756300,10100,92652400,45405600
38750,423100,123200,24800,43200,39000,14400,18500,101170800,100800,45700,9700,81302400,93200,90857300,20900,101658900,117900,114641500,9600,94032400,45488900
