Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
92250,399100,163900,18200,43500,37300,14900,27500,514336300,69000,67700,6900,508742900,42800,707682800,39400,617186900,31300,318183700,8000,290079700,153942800
92500,411000,166000,18200,47300,38500,23700,27700,518618000,70400,66400,7900,519638700,44000,948976500,37700,603637700,33200,318715800,8800,291213800,151558900
92750,339100,162800,21500,44100,125400,17400,25300,522293400,68000,68500,7700,534319600,41200,835259300,35000,590347500,46000,316708400,9100,292614700,153774300
93000,409000,168300,19200,43100,90200,18400,26200,507866600,71900,73100,8000,519850400,121100,806415500,41600,604591000,33700,322914500,7600,291835600,155567400
93250,369400,167000,19300,39800,82600,17100,29200,545858800,70900,70600,8300,519017300,64800,723279300,40200,576731900,32300,321136400,9300,294047200,156264000
93500,365500,166600,20200,46800,110400,17600,29800,530505000,74700,70200,7200,504966400,44000,859814500,39800,589947900,46900,322581400,8900,292060600,158039000
93750,389300,170600,19500,47100,65900,16700,20900,528850300,69400,70800,7900,529727300,44300,1067602800,41100,572791200,32600,321258300,9200,298375500,155803900
94000,352500,171500,19100,41700,69000,20400,25000,536831700,70600,71900,7600,497827900,41500,886815900,42100,634297600,30200,326243900,8800,296777300,161373000
94250,441800,170200,19100,43200,83700,21400,21200,550027300,71900,68900,7500,577784700,42900,654330500,40800,630424800,32000,328355600,7800,298593300,157399600
94500,322600,165600,19600,47100,73700,20600,30800,888399900,72000,68800,7700,534235200,41700,675482000,37100,595341300,31400,324739200,10000,298906000,156888300
94750,351400,168100,18400,46100,77600,22000,27400,794157300,70300,71000,7700,572032200,45100,615535800,38100,622069300,30700,328890700,9800,300174500,161463800
95000,455600,202600,19800,49800,94200,20400,29700,808256700,67600,67200,7300,525022400,43100,654728400,41700,609164900,30200,326624800,7500,300118100,159641100
95250,368400,171900,18900,52200,85900,20100,20600,752901800,70400,70000,8700,553575900,45500,681885800,43700,605773000,31300,325559000,8500,298423500,161635300
95500,420700,175600,18300,48100,166400,19000,24300,773592700,73100,70600,8900,588004300,41900,827984700,40200,621001500,31000,329463900,8800,302670300,159718200
95750,423400,176800,19700,51900,428100,21300,22100,986911500,70700,73100,6900,537446500,58900,911496800,41200,589328500,327800,329807600,8500,302170800,159489400
96000,421800,173400,18400,71100,197300,18900,20800,986911500,71700,71900,7900,545573000,42200,689692300,46100,618394300,32100,335030100,8300,304077200,161387200
96250,363900,177700,19100,51000,61000,20100,24100,1027472700,72000,71600,7800,550119000,43300,612401100,41100,604141700,31100,333530300,36300,305922900,161587100
96500,304800,173400,19200,84000,58900,20500,18800,934028400,72900,70500,8100,561654700,42400,611545100,39800,679235500,31100,336873200,9900,305706700,160572200
96750,368600,173500,18300,94300,69200,22900,24900,1063788400,75200,71100,7200,585549900,42700,620360200,43400,641860100,48600,333331700,8800,305412100,164385300
97000,422400,176300,18800,53400,117600,25800,24700,824494100,74400,73700,7400,579382600,42400,598101600,46000,696031700,31500,339150000,8600,307998300,167178800
97250,400200,177000,19100,51100,106300,27100,26800,897619200,76100,71500,7200,536416600,39800,599700900,63000,622587200,51500,334202000,8300,308515100,162546000
97500,414600,178200,19600,83500,63100,20500,101700,758653900,70200,67700,7000,558484800,41200,604921000,41600,693611800,46000,338132100,9600,307799000,166108700
97750,328200,181100,18100,204400,75900,20200,120800,709928400,67400,72700,6400,561678200,43700,613773400,46400,662552700,31400,340572700,8100,311062500,165365300
98000,444300,183500,19500,69400,62300,20000,32200,654334700,72200,73600,8100,608719800,41700,634445500,51100,646226300,29400,338106900,7400,311394200,166341500
98250,417100,186600,18600,69200,252200,20400,31000,671148600,77700,74700,7000,561501700,87900,605313500,43100,684773600,33000,340525600,7800,314957900,167450200
98500,375500,181500,18500,75100,146400,20900,21400,671876500,75600,74100,6300,528741300,102100,629346600,40300,685432000,32100,341113900,7800,314865400,166607000
98750,373300,182700,19100,67600,55300,20900,33900,658425300,69100,74400,7400,573825900,42100,645035500,46100,659914500,28800,342239800,7600,312487900,166912300
99000,415200,190800,17800,67300,53100,24200,180800,656225100,76100,73400,6900,545710700,41500,650987700,46000,657004100,29300,344334900,7600,316591800,167142800
99250,397600,178600,16500,90700,203300,19700,105800,696974700,74300,74500,7300,575034200,42200,623390900,46700,688259300,44800,348702900,7000,323288200,167219800
99500,385700,180400,17700,104700,48200,21700,71600,644257700,78200,73100,7000,608036600,46000,649484800,44500,713751400,30300,343619600,7500,319023600,168103700
99750,507000,183100,17700,59300,49200,21400,82800,664671800,89600,77000,6700,613911600,43700,593652600,49200,673992700,31600,347099300,8400,319209200,170426700
100000,536100,186500,19400,173000,104500,19400,16300,667011400,71600,87800,8000,604160100,40500,672525300,49600,729923400,31100,347718700,31800,322946000,169359100
100250,794400,190100,19600,190600,49100,23400,17000,677402000,78200,78700,7400,575840700,40300,623497800,43700,712011800,30800,345607800,37200,322418600,168051700
100500,716000,190400,19400,216200,49200,22100,13900,670133200,73200,76800,6900,614579100,41100,674040000,44100,681758400,30800,346834100,36900,325238000,169872500
100750,598200,189900,19900,73000,44600,21000,14900,671857700,72400,77000,7800,607091300,43400,677917300,46300,691434500,31200,348341500,33200,325583000,170635400
101000,681300,189900,17200,55000,45400,21500,13200,692031800,74400,80900,8400,604070100,41400,644746300,46700,704650200,30200,346777100,9700,327070800,170383500
101250,495700,187700,16700,51500,46900,22000,16400,676148300,74700,77800,6600,592698700,37000,659831100,49500,679788800,30200,354099300,8800,330584000,171453400
101500,562000,206300,17100,47800,45700,21300,15900,687011400,76700,75900,7300,608606700,41600,652296700,51900,696972500,29800,351529200,8200,330449300,175305100
101750,657500,201400,18700,47000,61200,22500,15400,663613300,362200,78000,6700,608957000,65400,648349900,57100,691116500,29300,354469100,8600,332934200,172077400
102000,716300,191300,18600,57700,42900,24000,17100,714790600,220200,77900,7600,601960500,41000,665587800,52800,743781300,30900,357568200,9200,332439900,173624600
102250,695900,194900,20000,51700,43400,27800,17200,655501600,283300,76100,8100,635736100,39000,680577000,53800,713009700,29200,357418300,7000,337469500,173870100
102500,390200,197200,18800,48700,42400,22700,17700,705480500,303400,80000,6900,648121000,39200,669007500,56800,697740700,28300,351805300,19100,337471500,172431100
102750,569400,202900,19300,53100,43200,30700,17800,666195800,142800,84200,8000,606391200,39300,681888400,55900,681615200,29500,354462600,44400,342735800,180296700
103000,684200,204000,19400,106200,43000,27700,18300,712299500,128600,84400,8000,612368600,36500,682224500,58700,735568600,28300,359695100,22100,345333800,172224300
103250,597400,203900,20300,68700,42300,22100,15500,687274800,121100,84500,6200,642331800,72000,679636300,63000,717514700,29300,358690500,12300,342694900,174947700
103500,625400,218500,16500,65400,45200,23700,18000,702235500,117300,89800,8000,621233900,50100,710246600,64300,711306500,30700,357807700,31200,347271100,231948200
103750,670300,229000,16700,58500,53600,25900,15900,716751200,102500,93500,7900,647534700,83200,729254300,69300,727565700,29300,359577500,46200,352810200,192169600
104000,735100,219900,18100,63800,45400,25000,17600,733995300,100600,102000,7500,610359300,46100,682400900,84600,742237700,30400,362697800,16500,362359800,181936300
104250,594600,245300,21500,61500,49100,26300,16300,709836200,92400,120300,8200,624595000,41600,698261700,69000,768756700,27700,358766600,15500,350686200,177843400
104500,275600,123600,9700,23600,21700,11100,11700,311769700,46900,55900,3700,297242900,110800,391936300,21900,313287000,12700,179457900,11000,180449900,81765600
